branch	go_direction	native	name	source_constrained_gene_count	example_source_constrained_genes	term_selected_gene_count
WT/FF	up	GO:0070887	cellular response to chemical stimulus	7	Ankrd1, Cited2, Clca1, Grp, Il6, Serpine1, Slamf1	103
WT/FF	up	GO:0009890	negative regulation of biosynthetic process	7	Ankrd1, Cited2, Il6, Satb2, Serpine1, Slamf1, Ucn	102
cKO/CRE	up	GO:0023056	positive regulation of signaling	7	Ankrd1, Cckbr, Grp, Il6, Plaur, Slamf1, Ucn	102
cKO/CRE	up	GO:0010647	positive regulation of cell communication	7	Ankrd1, Cckbr, Grp, Il6, Plaur, Slamf1, Ucn	101
cKO/CRE	up	GO:0051240	positive regulation of multicellular organismal process	7	Adm2, Cckbr, Grp, Il6, Serpine1, Slamf1, Ucn	100
WT/FF	up	GO:0010558	negative regulation of macromolecule biosynthetic process	7	Ankrd1, Cited2, Il6, Satb2, Serpine1, Slamf1, Ucn	99
WT/FF	up	GO:1902531	regulation of intracellular signal transduction	7	Ankrd1, Cited2, Dusp9, Il6, Plaur, Slamf1, Ucn	99
WT/FF	up	GO:0048585	negative regulation of response to stimulus	7	Dusp9, Il6, Plaur, Serpine1, Slamf1, Tmem88b, Ucn	98
cKO/CRE	up	GO:0009968	negative regulation of signal transduction	7	Dusp9, ENSMUSG00000030223, Il6, Plaur, Serpine1, Slamf1, Tmem88b	96
WT/FF	up	GO:0010648	negative regulation of cell communication	7	Dusp9, Il6, Plaur, Serpine1, Slamf1, Tmem88b, Ucn	94
WT/FF	up	GO:0023057	negative regulation of signaling	7	Dusp9, Il6, Plaur, Serpine1, Slamf1, Tmem88b, Ucn	94
WT/FF	up	GO:0043067	regulation of programmed cell death	7	Ankrd1, Cited2, Grp, Il6, Plaur, Serpine1, Ucn	91
WT/FF	up	GO:0042981	regulation of apoptotic process	7	Ankrd1, Cited2, Grp, Il6, Plaur, Serpine1, Ucn	89
cKO/CRE	up	GO:0080134	regulation of response to stress	7	Ankrd1, Cckbr, ENSMUSG00000025279, Grp, Plaur, Serpine1, Ucn	84
